Timestamp,Quality,Angle (degrees),Distance (mm)
2024-11-11 14:01:06,,3.49072265625,2115
2024-11-11 14:01:06,,4.1689453125,2105
2024-11-11 14:01:06,,4.84716796875,2099
2024-11-11 14:01:06,,5.525390625,2098
2024-11-11 14:01:06,,6.20361328125,2099
2024-11-11 14:01:06,,6.8818359375,2100
2024-11-11 14:01:06,,7.56005859375,2095
2024-11-11 14:01:06,,8.23828125,2092
2024-11-11 14:01:06,,8.91650390625,2089
2024-11-11 14:01:06,,9.5947265625,2083
2024-11-11 14:01:06,,10.27294921875,2084
2024-11-11 14:01:06,,10.951171875,2092
2024-11-11 14:01:06,,11.62939453125,2087
2024-11-11 14:01:06,,12.3076171875,2081
2024-11-11 14:01:06,,12.98583984375,2084
2024-11-11 14:01:06,,13.6640625,2081
2024-11-11 14:01:06,,14.34228515625,2082
2024-11-11 14:01:06,,15.0205078125,2090
2024-11-11 14:01:06,,15.69873046875,2087
2024-11-11 14:01:06,,16.376953125,2091
2024-11-11 14:01:06,,17.05517578125,2101
2024-11-11 14:01:06,,17.7333984375,2100
2024-11-11 14:01:06,,18.41162109375,2099
2024-11-11 14:01:06,,19.08984375,2104
2024-11-11 14:01:06,,19.76806640625,2107
2024-11-11 14:01:06,,20.4462890625,2111
2024-11-11 14:01:06,,21.12451171875,2120
2024-11-11 14:01:06,,21.802734375,2122
2024-11-11 14:01:06,,22.48095703125,2124
2024-11-11 14:01:06,,23.1591796875,2132
2024-11-11 14:01:06,,23.83740234375,2138
2024-11-11 14:01:06,,24.515625,2139
2024-11-11 14:01:06,,25.1953125,2143
2024-11-11 14:01:06,,25.875,2148
2024-11-11 14:01:06,,26.5546875,2150
2024-11-11 14:01:06,,27.234375,2156
2024-11-11 14:01:06,,27.9140625,2170
2024-11-11 14:01:06,,28.59375,2175
2024-11-11 14:01:06,,29.7421875,503
2024-11-11 14:01:06,,30.546875,505
2024-11-11 14:01:06,,32.5859375,495
2024-11-11 14:01:06,,33.140625,491
2024-11-11 14:01:06,,33.6953125,493
2024-11-11 14:01:06,,34.5,488
