Timestamp,Quality,Angle (degrees),Distance (mm)
2024-10-24 02:41:35,15,234.109375,469.0
2024-10-24 02:41:35,15,235.671875,475.25
2024-10-24 02:41:35,15,247.078125,336.75
2024-10-24 02:41:35,15,248.15625,340.75
2024-10-24 02:41:35,15,249.703125,348.25
2024-10-24 02:41:35,15,251.234375,352.75
2024-10-24 02:41:35,15,252.640625,355.25
2024-10-24 02:41:35,15,253.890625,361.0
2024-10-24 02:41:35,15,255.15625,367.5
2024-10-24 02:41:35,15,256.640625,374.75
2024-10-24 02:41:35,15,257.734375,383.0
2024-10-24 02:41:35,15,268.90625,450.25
2024-10-24 02:41:35,15,270.421875,439.5
2024-10-24 02:41:35,15,271.71875,433.5
2024-10-24 02:41:35,13,275.765625,460.0
2024-10-24 02:41:35,15,277.1875,460.5
2024-10-24 02:41:35,15,278.484375,455.5
2024-10-24 02:41:35,15,279.890625,457.25
2024-10-24 02:41:35,15,281.421875,459.25
2024-10-24 02:41:35,15,282.90625,461.0
2024-10-24 02:41:35,15,284.09375,463.0
2024-10-24 02:41:35,15,322.921875,315.75
2024-10-24 02:41:35,15,327.796875,293.75
2024-10-24 02:41:35,15,330.546875,283.75
2024-10-24 02:41:35,15,331.75,284.75
2024-10-24 02:41:35,15,333.296875,282.25
2024-10-24 02:41:35,15,334.734375,279.25
2024-10-24 02:41:35,15,338.890625,267.0
2024-10-24 02:41:35,15,341.015625,253.0
2024-10-24 02:41:35,15,343.453125,247.0
2024-10-24 02:41:35,15,344.59375,242.0
2024-10-24 02:41:35,15,346.03125,237.25
2024-10-24 02:41:35,15,347.8125,233.25
2024-10-24 02:41:35,15,350.390625,229.5
2024-10-24 02:41:35,15,351.8125,226.25
2024-10-24 02:41:35,15,351.9375,223.75
2024-10-24 02:41:35,15,354.90625,212.25
2024-10-24 02:41:35,15,357.484375,211.0
2024-10-24 02:41:35,15,358.90625,211.5
2024-10-24 02:41:35,15,0.34375,210.0
2024-10-24 02:41:35,15,1.765625,205.25
2024-10-24 02:41:35,15,3.203125,202.25
2024-10-24 02:41:35,15,3.84375,202.5
2024-10-24 02:41:35,15,5.140625,203.5
2024-10-24 02:41:35,15,7.484375,204.0
2024-10-24 02:41:35,15,8.90625,203.0
2024-10-24 02:41:35,15,10.34375,202.5
2024-10-24 02:41:35,15,13.203125,192.0
2024-10-24 02:41:35,15,32.765625,332.5
2024-10-24 02:41:35,15,33.875,334.0
2024-10-24 02:41:35,15,35.671875,338.25
2024-10-24 02:41:35,15,40.125,2862.0
2024-10-24 02:41:35,15,41.578125,2912.5
2024-10-24 02:41:35,15,48.765625,2498.0
2024-10-24 02:41:35,15,50.203125,2500.25
2024-10-24 02:41:35,15,51.671875,2472.5
2024-10-24 02:41:35,15,54.5625,2329.0
2024-10-24 02:41:35,15,55.984375,2278.0
2024-10-24 02:41:35,15,57.453125,2222.0
2024-10-24 02:41:35,15,58.859375,2165.75
2024-10-24 02:41:35,15,60.3125,2118.25
2024-10-24 02:41:35,15,68.65625,231.75
2024-10-24 02:41:35,15,71.6875,229.25
2024-10-24 02:41:35,15,72.203125,227.25
2024-10-24 02:41:35,15,73.71875,225.5
2024-10-24 02:41:35,15,75.984375,223.75
2024-10-24 02:41:35,15,76.71875,222.5
2024-10-24 02:41:35,15,78.828125,221.0
2024-10-24 02:41:35,15,80.265625,219.25
2024-10-24 02:41:35,15,80.609375,218.5
2024-10-24 02:41:35,15,83.109375,218.75
2024-10-24 02:41:35,15,84.21875,219.5
2024-10-24 02:41:35,15,85.96875,220.25
2024-10-24 02:41:35,15,87.390625,221.0
2024-10-24 02:41:35,15,88.828125,222.25
2024-10-24 02:41:35,15,90.171875,224.0
2024-10-24 02:41:35,15,99.75,332.25
2024-10-24 02:41:35,15,101.171875,336.75
2024-10-24 02:41:35,15,102.109375,341.0
2024-10-24 02:41:35,15,103.609375,346.0
2024-10-24 02:41:35,15,105.359375,350.5
2024-10-24 02:41:35,15,106.4375,355.0
2024-10-24 02:41:35,15,108.109375,359.25
2024-10-24 02:41:35,15,109.171875,364.5
2024-10-24 02:41:35,15,110.453125,370.5
2024-10-24 02:41:35,15,111.953125,376.5
2024-10-24 02:41:35,15,113.28125,383.25
2024-10-24 02:41:35,15,114.859375,390.0
2024-10-24 02:41:35,15,115.875,397.0
2024-10-24 02:41:35,15,117.234375,405.0
