Index,Quality,Angle (degrees),Distance (mm)
2,15,10.265625,238.0
2,15,10.671875,238.0
2,15,12.46875,239.25
2,15,14.5,239.5
2,15,15.03125,240.5
2,15,16.359375,241.0
2,15,18.75,242.0
2,15,20.140625,243.0
2,15,20.03125,244.5
2,15,22.46875,244.25
2,15,22.75,245.25
2,15,24.734375,248.5
2,15,25.140625,251.0
2,15,26.34375,254.0
2,15,28.65625,254.5
2,15,29.75,255.5
2,15,30.890625,256.5
2,15,36.515625,270.75
2,15,48.25,2504.75
2,15,49.640625,2490.5
2,15,51.078125,2484.75
2,15,52.484375,2430.75
2,15,53.90625,2367.5
2,15,55.359375,2303.5
2,15,56.796875,2240.75
2,15,58.203125,2187.75
2,15,59.578125,2136.75
2,15,61.03125,2087.75
2,15,62.4375,2046.5
2,15,66.71875,1944.5
2,15,75.453125,265.0
2,15,75.96875,262.25
2,15,77.734375,260.25
2,15,78.765625,258.0
2,15,81.40625,256.0
2,15,83.046875,254.25
2,15,84.140625,253.0
2,15,85.078125,252.5
2,15,86.234375,253.5
2,15,87.203125,254.75
2,15,89.453125,256.75
2,15,90.578125,259.25
2,15,102.15625,376.0
2,15,103.828125,379.75
2,15,105.0625,386.0
2,15,106.375,390.25
2,15,107.671875,394.0
2,15,109.234375,398.5
2,15,110.34375,404.25
2,15,111.65625,410.0
2,15,112.921875,416.0
2,15,114.46875,422.25
2,15,115.8125,428.5
2,15,117.34375,435.5
2,15,118.5625,443.0
2,15,120.0,450.25
2,15,121.078125,458.75
2,15,122.453125,467.5
2,15,124.03125,477.0
2,15,125.140625,488.0
2,15,126.5625,499.5
2,15,127.84375,514.25
2,15,129.359375,530.25
2,15,139.109375,513.75
2,15,147.28125,1347.75
2,15,148.65625,1352.0
2,15,150.09375,1369.0
2,15,151.53125,1375.75
2,15,152.921875,1366.25
2,15,157.328125,1194.0
2,15,158.671875,1188.25
2,15,160.109375,1187.75
2,15,161.515625,1184.5
2,15,162.984375,1177.0
2,15,164.375,1163.0
2,15,165.765625,1143.25
2,15,167.296875,1122.75
2,15,168.671875,1102.25
2,15,171.40625,1163.75
2,15,175.515625,579.5
2,15,177.0625,571.5
2,15,180.0625,510.0
2,15,181.421875,509.75
2,15,182.859375,510.0
2,15,184.203125,512.25
2,15,185.703125,514.5
2,15,187.109375,514.0
2,15,188.625,512.5
2,15,189.828125,512.75
2,15,191.328125,516.75
2,15,195.703125,518.0
2,15,197.09375,508.75
2,10,199.90625,498.75
2,15,211.046875,533.5
2,15,220.859375,539.25
2,15,222.53125,538.5
2,15,223.796875,530.75
2,15,225.25,526.0
2,15,226.578125,523.5
2,15,231.03125,488.5
2,15,232.6875,484.0
2,15,233.984375,478.25
2,15,235.390625,471.0
2,15,245.28125,337.75
2,15,246.375,336.75
2,15,248.03125,339.75
2,15,249.171875,344.5
2,15,250.40625,349.25
2,15,251.9375,354.25
2,15,253.484375,360.0
2,15,254.484375,366.5
2,15,256.203125,373.5
2,15,262.71875,427.0
2,15,269.703125,438.25
2,15,271.125,430.25
2,15,272.359375,429.0
2,15,273.65625,432.25
2,15,277.984375,453.5
2,15,279.265625,454.5
2,15,292.734375,137.25
2,15,311.640625,219.5
2,15,313.046875,213.0
2,15,314.78125,207.0
2,15,316.1875,201.25
2,15,317.609375,196.25
2,15,319.015625,191.5
2,15,320.421875,187.0
2,15,321.828125,182.75
2,15,323.234375,181.0
2,15,327.6875,282.25
2,15,329.203125,275.75
2,15,331.84375,268.75
2,15,332.15625,263.5
2,15,333.734375,260.0
2,15,335.578125,258.25
2,15,337.140625,257.75
2,15,337.9375,257.25
2,15,339.625,257.25
2,15,341.109375,258.5
2,15,343.40625,259.25
2,15,344.96875,258.5
2,15,345.109375,256.75
2,15,347.921875,255.0
2,15,348.71875,253.5
2,15,349.765625,251.25
2,15,350.890625,247.75
2,15,352.390625,245.5
2,15,354.640625,244.5
2,15,357.453125,243.75
3,15,357.234375,242.75
3,15,0.015625,242.0
3,15,1.4375,240.0
3,15,1.046875,238.75
3,15,2.484375,238.5
3,15,4.703125,238.25
3,15,7.078125,237.75
3,15,8.484375,238.0
3,15,8.71875,238.0
3,15,9.59375,239.25
3,15,12.71875,239.75
3,15,12.578125,239.75
3,15,13.859375,241.0
3,15,15.09375,241.25
3,15,16.78125,241.5
3,15,18.234375,243.25
3,15,19.484375,245.0
3,15,21.109375,245.25
3,15,22.109375,245.75
3,15,24.171875,247.75
3,15,24.765625,250.5
3,15,26.453125,253.0
3,15,27.421875,254.5
3,15,29.3125,255.75
3,15,31.203125,256.25
3,15,35.71875,270.0
3,15,46.453125,2604.0
3,15,49.265625,2496.5
3,15,50.6875,2499.25
3,15,52.109375,2448.5
3,15,53.53125,2379.5
3,15,54.953125,2319.5
3,15,56.390625,2260.75
3,15,57.875,2197.0
3,15,59.21875,2141.0
3,15,60.65625,2099.75
3,15,62.078125,2060.25
3,15,66.390625,1959.5
3,15,73.8125,266.5
3,15,75.453125,263.0
3,15,77.125,260.75
3,15,78.1875,258.5
3,15,79.765625,256.5
3,15,81.453125,254.75
3,15,82.671875,253.5
3,15,84.453125,252.75
3,15,85.484375,252.75
3,15,88.21875,254.0
3,15,89.25,256.25
3,15,90.296875,259.0
3,15,102.265625,375.25
3,13,103.546875,378.0
3,15,104.796875,385.0
3,15,105.859375,390.0
3,15,107.40625,393.5
3,15,108.640625,397.75
3,15,110.015625,403.25
3,15,111.703125,408.75
3,15,112.6875,414.5
3,15,114.125,420.25
3,15,115.796875,427.0
3,15,116.984375,433.75
3,15,118.1875,441.25
3,15,119.515625,449.25
3,15,120.828125,457.75
3,15,122.296875,466.5
3,15,123.796875,475.5
3,15,125.046875,486.5
3,15,126.4375,498.0
3,15,129.015625,527.75
3,15,139.09375,514.5
3,15,147.125,1349.25
3,15,148.453125,1347.5
3,15,149.84375,1367.5
3,15,151.265625,1380.5
3,15,152.6875,1369.75
3,15,157.125,1196.5
3,15,158.5625,1189.25
3,15,159.9375,1188.5
3,15,161.328125,1186.5
3,15,162.8125,1177.75
3,15,164.21875,1164.5
3,15,165.625,1146.0
3,15,167.046875,1123.25
3,15,168.578125,1102.75
3,15,171.3125,1170.5
3,15,176.671875,572.75
3,15,179.875,510.25
3,15,181.296875,510.25
3,15,182.796875,510.25
3,15,184.203125,512.25
3,15,185.4375,514.75
3,15,187.078125,516.0
3,15,188.578125,513.5
3,15,189.953125,510.5
3,15,191.109375,514.75
3,15,195.53125,520.0
3,12,199.671875,498.75
3,15,211.0,531.0
3,9,214.109375,444.25
3,15,220.84375,538.25
3,15,222.046875,539.0
3,15,223.71875,532.75
3,15,225.03125,526.5
3,15,226.375,525.0
3,15,230.921875,488.75
3,15,232.453125,485.0
3,15,233.890625,479.0
3,15,235.265625,471.25
3,15,245.28125,337.75
3,15,246.703125,336.5
3,15,247.703125,339.0
3,15,248.953125,343.5
3,15,250.578125,348.0
3,15,252.046875,353.25
3,15,253.109375,359.75
3,15,254.515625,366.0
3,15,255.84375,373.0
3,15,262.59375,428.25
3,15,269.5,439.25
3,15,270.953125,430.25
3,15,272.21875,428.75
3,15,273.71875,432.25
3,15,277.875,454.5
3,15,279.0,455.25
3,15,294.25,137.75
3,15,311.84375,219.5
3,15,312.421875,213.5
3,15,314.65625,207.5
3,15,316.078125,201.75
3,15,317.484375,196.5
3,15,318.890625,191.5
3,15,320.3125,187.25
3,15,321.71875,183.5
3,15,323.125,181.0
3,15,328.5625,282.5
3,15,329.15625,275.5
3,15,331.265625,269.0
3,15,332.578125,263.75
3,15,334.0,260.0
3,15,336.25,258.25
3,15,336.8125,257.75
3,15,338.125,257.25
3,15,339.53125,257.25
3,15,340.65625,258.5
3,15,342.6875,259.5
