Timestamp,Quality,Angle (degrees),Distance (mm)
2024-10-24 13:59:49,15,88.421875,1743.5
2024-10-24 13:59:49,15,89.796875,1715.25
2024-10-24 13:59:49,15,91.140625,1708.5
2024-10-24 13:59:49,15,92.546875,1705.75
2024-10-24 13:59:49,15,93.859375,1705.5
2024-10-24 13:59:49,15,95.234375,1701.0
2024-10-24 13:59:49,15,96.640625,1673.5
2024-10-24 13:59:49,15,97.984375,1670.25
2024-10-24 13:59:49,15,100.78125,1587.75
2024-10-24 13:59:49,15,103.46875,1643.0
2024-10-24 13:59:49,15,147.578125,125.0
2024-10-24 13:59:49,15,150.5,117.75
2024-10-24 13:59:49,15,152.40625,114.75
2024-10-24 13:59:49,15,153.0,111.5
2024-10-24 13:59:49,15,155.96875,108.75
2024-10-24 13:59:49,15,157.171875,106.25
2024-10-24 13:59:49,15,158.65625,104.0
2024-10-24 13:59:49,15,160.4375,102.0
2024-10-24 13:59:49,15,161.609375,100.25
2024-10-24 13:59:49,15,164.515625,99.0
2024-10-24 13:59:49,15,278.078125,1272.5
2024-10-24 13:59:49,15,279.453125,1269.25
2024-10-24 13:59:49,15,280.8125,1268.0
2024-10-24 13:59:49,15,282.15625,1268.25
2024-10-24 13:59:49,15,283.5,1265.5
2024-10-24 13:59:49,15,284.84375,1264.75
2024-10-24 13:59:49,15,286.171875,1268.5
2024-10-24 13:59:49,15,287.515625,1273.5
2024-10-24 13:59:49,15,288.890625,1276.5
2024-10-24 13:59:49,15,290.265625,1280.0
2024-10-24 13:59:49,15,291.640625,1286.0
2024-10-24 13:59:49,15,292.921875,1289.0
2024-10-24 13:59:49,15,294.328125,1294.0
2024-10-24 13:59:49,15,295.671875,1302.25
2024-10-24 13:59:49,15,297.015625,1307.5
2024-10-24 13:59:49,15,298.328125,1314.75
2024-10-24 13:59:49,15,299.828125,1325.25
2024-10-24 13:59:49,15,301.171875,1335.25
2024-10-24 13:59:49,15,302.53125,1345.0
2024-10-24 13:59:49,15,303.921875,1359.0
2024-10-24 13:59:49,15,305.1875,1374.75
2024-10-24 13:59:49,15,306.53125,1388.25
